problem,brand,repair_status,event_year,age
power/battery,hp,repairable,2020,10.0
boot,toshiba,end of life,2019,10.0
unknown,unknown,repairable,2019,10.0
unknown,sony,end of life,2020,10.0
unknown,hp,fixed,2017,10.0
performance,acer,fixed,2019,10.0
multiple,hp,repairable,2020,10.0
unknown,dell,repairable,2020,10.0
unknown,acer,end of life,2017,10.0
operating system,toshiba,repairable,2019,10.0
power/battery,unknown,fixed,2019,10.0
power/battery,toshiba,end of life,2019,10.0
unknown,dell,repairable,2020,10.0
other,hp,repairable,2019,10.0
power/battery,toshiba,fixed,2020,10.0
operating system,hp,fixed,2020,10.0
boot,hp,fixed,2020,10.0
operating system,hp,fixed,2019,10.0
configuration,toshiba,fixed,2020,10.0
unknown,asus,fixed,2019,10.0
boot,asus,repairable,2020,10.0
unknown,dell,fixed,2019,10.0
overheating,unknown,fixed,2019,11.0
system board,dell,end of life,2018,11.0
integrated media component,apple,repairable,2019,11.0
integrated screen,samsung,fixed,2020,11.0
operating system,acer,repairable,2017,11.0
internal damage,hp,end of life,2017,11.0
unknown,apple,end of life,2019,11.0
multiple,dell,fixed,2020,11.0
internal damage,ibm,unknown,2019,11.0
unknown,fujitsu technology solutions,repairable,2017,11.0
configuration,compaq,repairable,2018,11.0
unknown,dec,end of life,2018,11.0
operating system,lenovo,repairable,2019,11.0
unknown,acer,fixed,2018,11.0
operating system,dell,fixed,2019,11.0
case/chassis,lenovo,end of life,2018,11.0
case/chassis,samsung,repairable,2019,11.0
unknown,acer,repairable,2017,12.0
boot,fujitsu,fixed,2020,12.0
unknown,unknown,repairable,2017,12.0
integrated keyboard,toshiba,fixed,2019,12.0
unknown,alpha,repairable,2017,12.0
case/chassis,lenovo,fixed,2020,12.0
unknown,packard bell,fixed,2017,12.0
power/battery,hp,repairable,2018,12.0
internal storage,hp,fixed,2019,12.0
power/battery,sony,end of life,2019,12.0
performance,sharp,fixed,2016,12.0
virus/malware,hp,repairable,2020,12.0
unknown,fujitsu technology solutions,fixed,2018,12.0
integrated screen,acer,repairable,2017,12.0
unknown,dell,end of life,2020,12.0
system board,acer,repairable,2018,12.0
performance,lenovo,fixed,2019,12.0
overheating,hp,fixed,2020,12.0
virus/malware,dell,fixed,2019,13.0
performance,medion akoya,repairable,2018,13.0
configuration,medion,end of life,2019,13.0
multiple,toshiba,fixed,2020,13.0
unknown,dell,repairable,2019,13.0
unknown,medion,end of life,2018,13.0
integrated screen,e-machines,repairable,2018,13.0
unknown,hp,fixed,2018,14.0
unknown,toshiba,fixed,2018,14.0
integrated keyboard,hp compaq,repairable,2018,14.0
operating system,lenovo,fixed,2020,15.0
performance,dell,repairable,2019,15.0
unknown,acer,fixed,2020,15.0
power/battery,sony,repairable,2017,15.0
performance,lenovo,fixed,2017,15.0
performance,dell,repairable,2019,15.0
internal storage,unknown,repairable,2020,15.0
internal storage,toshiba,repairable,2019,15.0
overheating,acer,fixed,2020,15.0
boot,apple,repairable,2019,15.0
other,acer,fixed,2019,16.0
integrated screen,compaq,end of life,2019,16.0
ports/slots/connectors,fujitsu,repairable,2019,16.0
unknown,compaq,repairable,2017,16.0
operating system,acer,end of life,2019,16.0
power/battery,apple,repairable,2020,16.0
configuration,medion,fixed,2018,18.0
unknown,medion,fixed,2018,18.0
unknown,unknown,end of life,2018,18.0
unknown,unknown,fixed,2018,18.0
internal storage,toshiba,fixed,2019,19.0
integrated screen,lenovo,repairable,2019,19.0
configuration,acer,repairable,2019,19.0
unknown,cybermaxx,repairable,2017,19.0
integrated screen,toshiba,repairable,2019,19.0
configuration,ibm,end of life,2019,19.0
unknown,hp,fixed,2020,20.0
power/battery,fujitsu technology solutions,repairable,2019,29.0
system board,samsung,unknown,2019,
configuration,unknown,unknown,2019,
power/battery,macally,fixed,2019,
configuration,unknown,fixed,2019,
configuration,compaq,unknown,2019,
case/chassis,lenovo,fixed,2019,
configuration,hp,fixed,2019,
unknown,unknown,unknown,2019,
unknown,unknown,fixed,2018,
unknown,unknown,unknown,2018,
unknown,unknown,repairable,2018,
unknown,hp,unknown,2019,
power/battery,asus,repairable,2019,
operating system,toshiba,fixed,2019,
ports/slots/connectors,lenovo,fixed,2019,
overheating,asus,fixed,2018,
internal storage,acer,unknown,2019,
system board,hp,unknown,2019,
configuration,acer,fixed,2018,
overheating,hp,fixed,2019,
power/battery,samsung,fixed,2019,
integrated screen,acer,repairable,2019,
boot,hp,unknown,2019,
operating system,asus,unknown,2019,
power/battery,lenovo,unknown,2017,
integrated screen,unknown,fixed,2017,
integrated screen,samsung,fixed,2017,
integrated screen,acer,fixed,2019,
integrated optical drive,acer,repairable,2019,
configuration,acer,fixed,2019,
power/battery,hp,repairable,2018,
configuration,dell,fixed,2018,
integrated keyboard,unknown,fixed,2017,
integrated optical drive,unknown,fixed,2017,
system board,unknown,repairable,2017,
integrated keyboard,unknown,repairable,2017,
operating system,unknown,unknown,2017,
integrated screen,lenovo,unknown,2018,
configuration,dell,unknown,2018,
performance,unknown,fixed,2016,
unknown,samsung,unknown,2018,
case/chassis,lenovo,repairable,2018,
ports/slots/connectors,acer,unknown,2016,
case/chassis,lenovo,fixed,2018,
performance,dell,unknown,2018,
internal storage,samsung,fixed,2018,
unknown,unknown,unknown,2015,
integrated screen,medion,repairable,2018,
performance,ibm,unknown,2017,
internal storage,asus,fixed,2018,
integrated media component,asus,unknown,2018,
overheating,hp,fixed,2017,
other,unknown,fixed,2017,
performance,unknown,fixed,2017,
performance,unknown,fixed,2017,
case/chassis,unknown,fixed,2017,
configuration,unknown,fixed,2017,
ports/slots/connectors,unknown,fixed,2017,
ports/slots/connectors,unknown,unknown,2016,
operating system,unknown,repairable,2016,
ports/slots/connectors,unknown,repairable,2016,
operating system,unknown,repairable,2016,
internal damage,unknown,repairable,2016,
ports/slots/connectors,unknown,fixed,2016,
unknown,unknown,unknown,2016,
configuration,unknown,fixed,2016,
unknown,unknown,unknown,2016,
integrated screen,unknown,fixed,2016,
integrated keyboard,unknown,repairable,2016,
ports/slots/connectors,unknown,fixed,2016,
configuration,unknown,unknown,2016,
integrated keyboard,unknown,fixed,2016,
ports/slots/connectors,unknown,fixed,2015,
ports/slots/connectors,unknown,repairable,2015,
unknown,unknown,unknown,2015,
configuration,acer,unknown,2018,
other,unknown,fixed,2015,
integrated screen,unknown,fixed,2015,
system board,unknown,repairable,2015,
ports/slots/connectors,unknown,unknown,2014,
virus/malware,unknown,fixed,2014,
unknown,unknown,fixed,2014,
overheating,unknown,repairable,2012,
configuration,acer,fixed,2018,
integrated keyboard,asus,fixed,2018,
other,medion,fixed,2018,
other,medion,fixed,2018,
internal storage,unknown,fixed,2018,
system board,asus,fixed,2018,
system board,ibm,fixed,2018,
operating system,dell,repairable,2018,
ports/slots/connectors,lenovo,fixed,2018,
ports/slots/connectors,asus,fixed,2018,
virus/malware,ibm,fixed,2018,
overheating,toshiba,fixed,2018,
configuration,asus,fixed,2019,
configuration,acer,fixed,2018,
configuration,unknown,repairable,2018,
integrated screen,hp,unknown,2018,
unknown,toshiba,unknown,2018,
configuration,acer,fixed,2018,
configuration,toshiba,fixed,2018,
integrated optical drive,unknown,fixed,2018,
operating system,msi,repairable,2018,
boot,acer,unknown,2019,
integrated screen,acer,fixed,2019,
case/chassis,samsung,unknown,2019,
integrated keyboard,asus,repairable,2018,
internal storage,dell,repairable,2019,
system board,apple,fixed,2019,
ports/slots/connectors,samsung,unknown,2019,
case/chassis,asus,fixed,2019,
case/chassis,asus,fixed,2019,
integrated screen,asus,repairable,2019,
integrated screen,lenovo,unknown,2019,
case/chassis,lenovo,repairable,2018,
integrated screen,asus,unknown,2019,
integrated screen,asus,fixed,2019,
unknown,toshiba,fixed,2018,
case/chassis,asus,fixed,2019,
unknown,acer,fixed,2019,
system board,samsung,repairable,2019,
unknown,medion,repairable,2019,
integrated keyboard,lenovo,repairable,2019,
configuration,asus,unknown,2019,
case/chassis,lenovo,unknown,2018,
configuration,lenovo,unknown,2019,
system board,lenovo,unknown,2019,
case/chassis,hp,unknown,2019,
configuration,toshiba,fixed,2019,
integrated keyboard,lenovo,fixed,2019,
integrated screen,unknown,unknown,2019,
internal storage,fujitsu,repairable,2018,
unknown,lenovo,repairable,2019,
unknown,unknown,unknown,2019,
integrated keyboard,unknown,fixed,2019,
case/chassis,unknown,fixed,2019,
unknown,asus,repairable,2019,
integrated keyboard,apple,fixed,2019,
integrated keyboard,unknown,fixed,2019,
case/chassis,hp,fixed,2019,
system board,acer,repairable,2019,
internal damage,lenovo,repairable,2019,
other,lenovo,fixed,2019,
case/chassis,toshiba,repairable,2019,
configuration,asus,repairable,2019,
configuration,asus,repairable,2019,
unknown,unknown,unknown,2019,
overheating,hp,repairable,2019,
case/chassis,unknown,fixed,2019,
unknown,hp,unknown,2019,
operating system,toshiba,fixed,2019,
unknown,samsung,unknown,2020,
performance,sony,unknown,2019,
configuration,unknown,fixed,2019,
performance,fujitsu,unknown,2019,
unknown,hp,repairable,2019,
configuration,unknown,fixed,2019,
power/battery,unknown,unknown,2019,
internal storage,unknown,repairable,2019,
internal damage,apple,repairable,2019,
case/chassis,unknown,unknown,2018,
configuration,unknown,fixed,2019,
other,unknown,fixed,2019,
unknown,apple,fixed,2019,
internal storage,unknown,fixed,2019,
unknown,unknown,fixed,2019,
ports/slots/connectors,unknown,fixed,2019,
internal storage,fujitsu,repairable,2019,
power/battery,hp,fixed,2019,
configuration,unknown,repairable,2019,
configuration,siemens,repairable,2019,
overheating,toshiba,fixed,2019,
performance,packard bell,repairable,2019,
performance,unknown,unknown,2019,
internal storage,unknown,fixed,2019,
configuration,unknown,fixed,2019,
system board,unknown,repairable,2019,
unknown,unknown,fixed,2018,
unknown,medion,unknown,2019,
unknown,apple,unknown,2019,
integrated screen,asus,fixed,2019,
integrated screen,unknown,unknown,2019,
internal storage,unknown,unknown,2019,
internal storage,unknown,unknown,2019,
integrated screen,unknown,unknown,2018,
operating system,unknown,repairable,2019,
system board,unknown,unknown,2019,
configuration,unknown,unknown,2019,
overheating,unknown,fixed,2018,
unknown,unknown,unknown,2019,
unknown,unknown,fixed,2018,
case/chassis,unknown,unknown,2020,
system board,unknown,unknown,2020,
internal storage,unknown,fixed,2020,
integrated screen,unknown,unknown,2020,
integrated optical drive,acer,unknown,2020,
unknown,unknown,fixed,2019,
unknown,unknown,fixed,2019,
unknown,unknown,repairable,2018,
power/battery,unknown,end of life,2020,
internal storage,dell,repairable,2020,
case/chassis,lenovo,fixed,2020,
power/battery,lenovo,fixed,2020,
other,unknown,fixed,2018,
internal storage,ibm,unknown,2020,
other,apple,fixed,2020,
ports/slots/connectors,medion,unknown,2018,
unknown,unknown,fixed,2019,
overheating,unknown,fixed,2019,
ports/slots/connectors,unknown,fixed,2019,
overheating,unknown,fixed,2019,
configuration,unknown,fixed,2019,
internal storage,samsung,fixed,2019,
system board,medion,fixed,2019,
multiple,unknown,fixed,2019,
case/chassis,lenovo,fixed,2019,
ports/slots/connectors,unknown,unknown,2019,
other,acer,fixed,2019,
operating system,compaq,unknown,2019,
integrated screen,unknown,unknown,2019,
configuration,ibm thinkpad,repairable,2018,
unknown,toshiba,fixed,2018,
unknown,apple,unknown,2018,
unknown,toshiba,repairable,2018,
unknown,lenovo,fixed,2018,
unknown,dell,fixed,2018,
unknown,hp,end of life,2018,
unknown,apple,fixed,2018,
unknown,dell,repairable,2019,
unknown,toshiba,fixed,2019,
unknown,toshiba,fixed,2019,
unknown,dell,fixed,2019,
unknown,lenovo,fixed,2019,
unknown,dell,unknown,2019,
unknown,dell,unknown,2020,
unknown,macbook pro,repairable,2018,
unknown,dell,fixed,2018,
configuration,chrome,end of life,2018,
power/battery,hp,end of life,2018,
power/battery,sony,end of life,2018,
overheating,acer,fixed,2018,
performance,hp,repairable,2018,
integrated keyboard,lenovo,end of life,2018,
boot,compaq,end of life,2018,
power/battery,dell,end of life,2018,
power/battery,packard bell,end of life,2018,
configuration,acer,fixed,2018,
power/battery,acer,end of life,2018,
unknown,unknown,fixed,2018,
unknown,hp,repairable,2018,
operating system,compaq,fixed,2018,
unknown,toshiba,repairable,2018,
configuration,hp,repairable,2018,
internal damage,apple,end of life,2018,
operating system,hp,fixed,2018,
configuration,acer,fixed,2018,
other,acer,fixed,2018,
unknown,lg,end of life,2018,
power/battery,samsung,repairable,2018,
integrated keyboard,acer,end of life,2018,
unknown,hp,fixed,2018,
performance,unknown,fixed,2018,
operating system,hp,repairable,2018,
performance,apple,repairable,2018,
unknown,unknown,end of life,2018,
integrated media component,unknown,end of life,2018,
configuration,unknown,fixed,2018,
configuration,unknown,fixed,2018,
boot,unknown,fixed,2018,
performance,unknown,fixed,2018,
performance,hp,fixed,2018,
boot,asus,fixed,2018,
ports/slots/connectors,acer,fixed,2018,
integrated pointing device,asus,repairable,2018,
unknown,unknown,fixed,2017,
performance,dell,repairable,2018,
unknown,samsung,repairable,2018,
configuration,acer,repairable,2018,
operating system,hp,fixed,2018,
boot,unknown,repairable,2019,
configuration,hp,fixed,2019,
boot,asus,end of life,2019,
unknown,unknown,end of life,2019,
unknown,unknown,fixed,2019,
unknown,unknown,end of life,2019,
unknown,unknown,repairable,2017,
case/chassis,hp,fixed,2019,
configuration,hp,fixed,2019,
overheating,hp,repairable,2019,
configuration,hp,fixed,2019,
integrated media component,unknown,fixed,2019,
integrated optical drive,unknown,fixed,2019,
performance,unknown,fixed,2019,
unknown,unknown,end of life,2019,
configuration,asus,end of life,2019,
unknown,apple,repairable,2019,
configuration,hp,fixed,2019,
boot,dell,repairable,2019,
performance,lenovo,repairable,2019,
unknown,unknown,fixed,2019,
unknown,unknown,end of life,2019,
unknown,lenovo,repairable,2019,
unknown,unknown,fixed,2019,
unknown,dell,repairable,2019,
configuration,acer,fixed,2019,
performance,unknown,end of life,2019,
boot,toshiba,fixed,2019,
integrated optical drive,acer,fixed,2019,
integrated media component,hp,fixed,2019,
performance,dell,fixed,2019,
boot,asus,fixed,2019,
operating system,dell,fixed,2019,
unknown,lenovo,fixed,2019,
unknown,unknown,end of life,2019,
unknown,unknown,fixed,2019,
unknown,unknown,end of life,2019,
unknown,unknown,repairable,2019,
unknown,unknown,fixed,2019,
unknown,unknown,end of life,2019,
unknown,peaq,fixed,2017,
configuration,asus,fixed,2019,
other,apple,repairable,2019,
power/battery,shark,fixed,2019,
performance,unknown,fixed,2019,
unknown,unknown,fixed,2019,
configuration,unknown,fixed,2019,
performance,unknown,end of life,2019,
configuration,acer,fixed,2019,
power/battery,hp,repairable,2019,
configuration,acer,fixed,2019,
performance,acer,fixed,2019,
other,apple,fixed,2019,
power/battery,acer,fixed,2019,
configuration,acer,fixed,2019,
configuration,acer,repairable,2019,
configuration,hp,repairable,2019,
unknown,unknown,repairable,2019,
unknown,unknown,fixed,2019,
unknown,apple,end of life,2019,
boot,asus,fixed,2019,
configuration,samsung,fixed,2019,
integrated screen,aser,end of life,2019,
unknown,lenovo,fixed,2019,
unknown,samsung,repairable,2019,
unknown,acer,fixed,2019,
integrated pointing device,acer,repairable,2019,
overheating,hp,repairable,2019,
power/battery,asus,repairable,2019,
unknown,asus,repairable,2019,
unknown,acer,fixed,2017,
power/battery,lenovo,repairable,2019,
unknown,unknown,fixed,2019,
unknown,unknown,fixed,2019,
unknown,dell,repairable,2019,
integrated keyboard,toshiba,repairable,2019,
configuration,unknown,fixed,2019,
configuration,unknown,fixed,2019,
unknown,apple,fixed,2019,
unknown,unknown,fixed,2019,
configuration,unknown,fixed,2019,
virus/malware,unknown,fixed,2019,
unknown,unknown,fixed,2019,
configuration,unknown,fixed,2019,
overheating,unknown,repairable,2017,
configuration,apple,fixed,2019,
boot,dell,end of life,2019,
power/battery,samsung,fixed,2019,
unknown,hp,fixed,2017,
configuration,lenco,fixed,2019,
integrated screen,hp,fixed,2019,
multiple,dell,end of life,2019,
power/battery,toshiba,repairable,2019,
unknown,acer,repairable,2019,
unknown,dell,repairable,2019,
integrated screen,acer,repairable,2019,
configuration,unknown,fixed,2019,
unknown,unknown,repairable,2019,
operating system,toshiba,repairable,2019,
unknown,medion,fixed,2019,
performance,asus,repairable,2019,
performance,asus,repairable,2019,
performance,asus,repairable,2019,
unknown,unknown,end of life,2019,
unknown,hp,end of life,2019,
unknown,hp compaq,end of life,2019,
unknown,hp,fixed,2019,
power/battery,asus,repairable,2019,
unknown,hp,fixed,2019,
unknown,dell,end of life,2019,
unknown,unknown,end of life,2019,
operating system,hp,repairable,2019,
ports/slots/connectors,asus,repairable,2019,
performance,unknown,fixed,2019,
unknown,unknown,repairable,2019,
boot,lenovo,fixed,2019,
unknown,hp,fixed,2017,
integrated screen,hp,end of life,2019,
power/battery,apple,end of life,2019,
boot,apple,end of life,2019,
unknown,collever,fixed,2017,
performance,toshiba,repairable,2019,
integrated media component,dell,repairable,2019,
unknown,unknown,fixed,2017,
unknown,unknown,repairable,2019,
configuration,sony,repairable,2019,
case/chassis,msi cx620,repairable,2019,
unknown,acer,end of life,2019,
internal storage,hp,repairable,2019,
system board,dell,fixed,2019,
unknown,toshiba,repairable,2019,
power/battery,asus,fixed,2019,
performance,toshiba,repairable,2019,
unknown,sony,end of life,2019,
unknown,hp,fixed,2019,
integrated screen,hp,repairable,2019,
performance,hp,fixed,2019,
performance,hp,fixed,2019,
performance,toshiba,repairable,2019,
internal storage,hp,end of life,2019,
integrated keyboard,dell,fixed,2019,
unknown,acer,repairable,2017,
boot,archos,repairable,2019,
boot,lenovo,fixed,2019,
configuration,hp,fixed,2019,
integrated media component,acer,fixed,2019,
configuration,dell,fixed,2019,
power/battery,unknown,repairable,2019,
unknown,acer,fixed,2019,
integrated optical drive,apple,fixed,2019,
unknown,fujitsu technology solutions,repairable,2019,
integrated screen,siemens,fixed,2019,
integrated screen,packard bell,end of life,2019,
unknown,trust,fixed,2020,
unknown,lenovo,fixed,2020,
performance,asus,fixed,2020,
integrated keyboard,asus,end of life,2020,
power/battery,unknown,fixed,2020,
operating system,acer,end of life,2020,
configuration,toshiba,fixed,2017,
configuration,lenovo,repairable,2020,
operating system,unknown,fixed,2020,
unknown,medion,repairable,2017,
configuration,hp,end of life,2020,
operating system,acer,fixed,2020,
unknown,acer,end of life,2020,
boot,apple,repairable,2020,
configuration,dell,repairable,2020,
unknown,dell,end of life,2017,
configuration,dell,repairable,2017,
unknown,unknown,repairable,2017,
unknown,unknown,fixed,2020,
unknown,hp,repairable,2020,
power/battery,unknown,end of life,2020,
operating system,hp,repairable,2017,
unknown,hp,fixed,2017,
unknown,hp,fixed,2020,
configuration,hp,fixed,2020,
unknown,home,fixed,2020,
unknown,home,repairable,2020,
unknown,unknown,fixed,2020,
unknown,unknown,fixed,2017,
unknown,asus,fixed,2020,
integrated keyboard,jumper,repairable,2020,
integrated screen,acer,repairable,2020,
power/battery,hp,repairable,2020,
unknown,fujitsu technology solutions,repairable,2020,
unknown,toshiba,fixed,2020,
unknown,dell,end of life,2020,
unknown,hp,fixed,2020,
unknown,asus,repairable,2020,
unknown,hp,fixed,2020,
ports/slots/connectors,asus,end of life,2020,
unknown,medion,end of life,2020,
power/battery,hp,repairable,2020,
power/battery,acer,end of life,2020,
performance,msi,end of life,2017,
internal damage,asus,end of life,2017,
performance,toshiba,end of life,2017,
power/battery,acer,end of life,2017,
unknown,gemino,end of life,2017,
unknown,apple,end of life,2017,
unknown,asus,fixed,2017,
performance,hp compaq,end of life,2017,
configuration,acer,fixed,2017,
power/battery,asus,fixed,2020,
operating system,compaq,fixed,2017,
operating system,acer,fixed,2017,
unknown,asus,fixed,2017,
unknown,unknown,repairable,2017,
unknown,acer,end of life,2017,
power/battery,lenovo,repairable,2017,
integrated keyboard,unknown,repairable,2017,
unknown,hp,repairable,2018,
internal storage,hp,repairable,2017,
boot,hp,fixed,2018,
unknown,unknown,repairable,2018,
unknown,unknown,repairable,2018,
unknown,hp,repairable,2018,
performance,lenovo,end of life,2018,
unknown,toshiba,repairable,2018,
unknown,dell,repairable,2018,
unknown,toshiba,fixed,2018,
unknown,dell,fixed,2018,
performance,acer,fixed,2018,
unknown,samsung,repairable,2018,
system board,unknown,end of life,2018,
unknown,unknown,repairable,2018,
unknown,dell,repairable,2018,
unknown,mpman,end of life,2018,
unknown,unknown,repairable,2017,
performance,unknown,fixed,2018,
unknown,hp,fixed,2018,
unknown,acer,fixed,2018,
unknown,packard bell,end of life,2018,
unknown,hp,fixed,2018,
configuration,hp,fixed,2017,
unknown,sony,fixed,2018,
performance,hp,fixed,2018,
operating system,sony,end of life,2018,
integrated screen,acer,repairable,2018,
unknown,sony,repairable,2018,
internal damage,fujitsu technology solutions,repairable,2018,
unknown,fujitsu technology solutions,end of life,2017,
unknown,toshiba,fixed,2017,
multiple,apple,fixed,2018,
configuration,unknown,fixed,2018,
power/battery,unknown,repairable,2018,
operating system,packard bell,end of life,2017,
integrated screen,unknown,repairable,2018,
unknown,acer,repairable,2018,
integrated pointing device,msi,fixed,2018,
configuration,msi,fixed,2018,
unknown,hp,fixed,2018,
unknown,chuwi,fixed,2018,
power/battery,acer,end of life,2018,
unknown,unknown,fixed,2017,
virus/malware,fujitsu technology solutions,fixed,2018,
unknown,toshiba,fixed,2017,
unknown,asus,repairable,2017,
unknown,acer,end of life,2018,
unknown,fujitsu technology solutions,repairable,2018,
unknown,unknown,fixed,2018,
integrated screen,asus,end of life,2018,
unknown,dell,end of life,2018,
operating system,chuwi,fixed,2018,
power/battery,unknown,end of life,2018,
configuration,unknown,repairable,2018,
integrated screen,lenovo,fixed,2018,
configuration,unknown,fixed,2018,
configuration,apple,fixed,2018,
power/battery,unknown,end of life,2018,
unknown,hp,repairable,2018,
operating system,unknown,end of life,2018,
unknown,unknown,unknown,2019,
unknown,unknown,unknown,2019,
unknown,unknown,unknown,2019,
internal storage,unknown,fixed,2017,
power/battery,unknown,fixed,2019,
internal damage,asus,repairable,2019,
configuration,unknown,repairable,2019,
unknown,vega,unknown,2019,
power/battery,dell,repairable,2019,
internal damage,hp,end of life,2019,
unknown,unknown,end of life,2019,
unknown,lenovo,end of life,2019,
boot,acer,fixed,2019,
overheating,unknown,repairable,2019,
system board,samsung,end of life,2019,
unknown,dell,repairable,2019,
unknown,asus,fixed,2019,
performance,unknown,end of life,2017,
internal damage,unknown,fixed,2017,
power/battery,unknown,fixed,2017,
unknown,unknown,fixed,2019,
unknown,unknown,fixed,2019,
ports/slots/connectors,unknown,end of life,2019,
configuration,unknown,repairable,2019,
integrated screen,dell,repairable,2019,
integrated keyboard,toshiba,fixed,2019,
power/battery,dell,repairable,2019,
system board,samsung,repairable,2019,
unknown,unknown,repairable,2019,
power/battery,unknown,repairable,2019,
integrated screen,unknown,unknown,2019,
boot,sony,fixed,2019,
overheating,unknown,repairable,2019,
power/battery,lenovo,fixed,2019,
power/battery,unknown,unknown,2019,
integrated keyboard,unknown,repairable,2019,
integrated keyboard,unknown,fixed,2019,
performance,unknown,fixed,2019,
ports/slots/connectors,toshiba,fixed,2019,
integrated screen,hp,fixed,2019,
integrated screen,asus,repairable,2019,
ports/slots/connectors,hp,repairable,2019,
unknown,unknown,unknown,2019,
system board,unknown,fixed,2017,
internal storage,unknown,repairable,2019,
unknown,unknown,fixed,2019,
unknown,unknown,repairable,2017,
boot,unknown,end of life,2019,
performance,hp,fixed,2019,
unknown,unknown,fixed,2019,
integrated screen,unknown,fixed,2019,
configuration,acer,fixed,2019,
unknown,unknown,repairable,2019,
power/battery,unknown,fixed,2019,
internal damage,unknown,repairable,2017,
ports/slots/connectors,unknown,repairable,2017,
case/chassis,unknown,fixed,2019,
internal storage,dell,end of life,2019,
power/battery,unknown,end of life,2019,
configuration,unknown,fixed,2019,
configuration,asus,unknown,2019,
performance,unknown,fixed,2018,
unknown,unknown,repairable,2019,
integrated keyboard,kitkat,repairable,2019,
internal damage,dell,fixed,2019,
internal damage,unknown,fixed,2019,
integrated keyboard,unknown,fixed,2019,
power/battery,unknown,repairable,2019,
internal damage,hp,unknown,2019,
integrated pointing device,unknown,repairable,2020,
integrated keyboard,unknown,repairable,2020,
multiple,unknown,fixed,2020,
unknown,unknown,end of life,2020,
integrated keyboard,lenovo,end of life,2020,
configuration,unknown,unknown,2020,
performance,unknown,unknown,2020,
case/chassis,unknown,fixed,2020,
integrated keyboard,unknown,repairable,2020,
virus/malware,hp,repairable,2020,
power/battery,toshiba,fixed,2020,
integrated screen,hp,fixed,2020,
integrated screen,asus,end of life,2020,
ports/slots/connectors,hp,repairable,2020,
configuration,unknown,unknown,2020,
configuration,unknown,fixed,2020,
internal damage,unknown,repairable,2018,
ports/slots/connectors,hp,fixed,2020,
boot,dell,repairable,2020,
integrated screen,unknown,fixed,2018,
unknown,unknown,repairable,2018,
power/battery,unknown,fixed,2018,
operating system,unknown,fixed,2018,
power/battery,unknown,fixed,2018,
integrated screen,unknown,fixed,2018,
unknown,unknown,fixed,2018,
performance,unknown,fixed,2018,
integrated screen,unknown,end of life,2018,
unknown,unknown,end of life,2018,
configuration,unknown,fixed,2018,
performance,unknown,repairable,2017,
boot,unknown,repairable,2018,
configuration,unknown,fixed,2018,
integrated screen,unknown,repairable,2018,
ports/slots/connectors,unknown,fixed,2018,
internal storage,unknown,unknown,2018,
boot,unknown,repairable,2018,
performance,unknown,end of life,2018,
integrated screen,unknown,fixed,2018,
configuration,unknown,repairable,2018,
power/battery,unknown,fixed,2018,
power/battery,unknown,repairable,2018,
power/battery,unknown,repairable,2018,
overheating,unknown,fixed,2018,
integrated media component,unknown,fixed,2018,
integrated screen,unknown,repairable,2017,
integrated keyboard,unknown,fixed,2018,
unknown,unknown,repairable,2018,
ports/slots/connectors,unknown,repairable,2018,
internal damage,dell,fixed,2013,
unknown,unknown,end of life,2018,
configuration,hp,fixed,2014,
unknown,unknown,end of life,2018,
boot,unknown,repairable,2018,
integrated screen,unknown,fixed,2018,
power/battery,unknown,repairable,2018,
overheating,unknown,fixed,2018,
boot,unknown,end of life,2018,
integrated keyboard,unknown,fixed,2018,
case/chassis,unknown,end of life,2018,
configuration,unknown,repairable,2018,
integrated screen,unknown,fixed,2018,
internal damage,unknown,fixed,2018,
overheating,unknown,fixed,2018,
integrated screen,unknown,repairable,2018,
performance,unknown,fixed,2018,
overheating,unknown,repairable,2018,
integrated pointing device,unknown,end of life,2018,
integrated screen,unknown,repairable,2018,
integrated screen,unknown,repairable,2018,
configuration,unknown,fixed,2018,
configuration,apple,repairable,2018,
ports/slots/connectors,unknown,repairable,2018,
configuration,apple,fixed,2018,
unknown,unknown,end of life,2018,
boot,dell,fixed,2014,
ports/slots/connectors,compaq,repairable,2014,
ports/slots/connectors,acer,fixed,2013,
overheating,toshiba,fixed,2014,
unknown,unknown,fixed,2014,
unknown,unknown,end of life,2018,
configuration,unknown,unknown,2018,
operating system,unknown,fixed,2018,
boot,unknown,repairable,2018,
boot,unknown,repairable,2018,
performance,dell,fixed,2014,
case/chassis,unknown,fixed,2018,
case/chassis,unknown,repairable,2018,
performance,unknown,fixed,2018,
unknown,unknown,unknown,2018,
case/chassis,unknown,fixed,2014,
integrated pointing device,apple,repairable,2018,
system board,acer,end of life,2018,
integrated keyboard,unknown,fixed,2018,
integrated media component,asus,fixed,2018,
performance,sony,repairable,2018,
integrated keyboard,unknown,repairable,2013,
unknown,unknown,end of life,2018,
unknown,unknown,end of life,2018,
performance,hp,fixed,2014,
overheating,unknown,repairable,2018,
integrated screen,unknown,repairable,2018,
performance,unknown,repairable,2014,
unknown,lenovo,fixed,2018,
integrated screen,acer,repairable,2018,
unknown,unknown,end of life,2014,
boot,unknown,repairable,2014,
overheating,dell,end of life,2013,
integrated screen,apple,fixed,2014,
performance,unknown,repairable,2018,
integrated screen,unknown,repairable,2014,
case/chassis,unknown,fixed,2014,
configuration,lenovo,fixed,2018,
